File name,% time in bottom 1/2, , , , , , , , , ,% time in bottom 1/4, , , , , , , , , ,% time in bottom 1/3, , , , , , , , , ,
 ,0-1 min,1-2 min,2-3 min,3-4 min,4-5 min,5-6 min,6-7 min,7-8 min,8-9 min,9-10 min,0-1 min,1-2 min,2-3 min,3-4 min,4-5 min,5-6 min,6-7 min,7-8 min,8-9 min,9-10 min,0-1 min,1-2 min,2-3 min,3-4 min,4-5 min,5-6 min,6-7 min,7-8 min,8-9 min,9-10 min, ,
raw/ILRDM_NTDFF3_Raw.xls_Tank_1,51.83333333333333,60.4444444445,49.66666666666667,81.55555555549999,78.5,52.111111111166665,54.5555555555,48.88888888883333,83.38888888883334,48.666666666666664,37.777777777833336,28.777777777833336,22.055555555499996,50.611111111166665,52.33333333333333,25.611111111166668,31.0,24.111111111166668,60.388888888833335,33.722222222166664,43.5,37.0,34.333333333333336,63.61111111116667,62.5,36.44444444449999,42.27777777783333,35.22222222216667,74.44444444450001,40.33333333333333,[]
raw/ILRDM_NTDFF3_Raw.xls_Tank_2,75.88888888883332,65.0555555555,67.83333333333333,52.44444444450001,50.83333333333333,40.11111111116667,40.33333333333333,47.66666666666667,32.0,65.0555555555,58.72222222216668,47.0555555555,46.111111111166665,15.388888888883335,18.777777777833336,22.5,18.166666666666668,33.166666666666664,9.55555555555,31.666666666666664,61.5555555555,54.666666666666664,54.88888888883333,27.72222222216667,31.388888888833332,27.166666666666668,24.4444444445,37.33333333333333,17.611111111166665,42.27777777783333,[]
raw/ILRDM_NTDFM1_Raw.xls_Tank_1,72.33333333333333,64.27777777783334,56.55555555549999,30.055555555500003,55.666666666666664,38.277777777833336,59.9444444445,48.777777777833336,61.5,55.55555555549999,52.72222222216667,46.4444444445,46.9444444445,22.388888888833332,39.277777777833336,20.777777777833332,46.0,36.166666666666664,48.833333333333336,46.833333333333336,58.77777777783333,54.333333333333336,50.5555555555,24.9444444445,45.11111111116667,28.388888888833335,54.833333333333336,42.5555555555,53.99999999999999,50.16666666666667,[]
raw/ILRDM_NTDFM1_Raw.xls_Tank_2,97.77777777783334,100.0,99.22222222216666,57.61111111116667,70.33333333333334,77.44444444450001,64.38888888883334,69.0,75.77777777783334,76.11111111116668,88.66666666666667,100.0,92.72222222216668,31.388888888833332,40.22222222216667,68.0,40.666666666666664,46.722222222166664,64.44444444450001,63.4444444445,95.66666666666667,100.0,96.77777777783334,38.222222222166664,48.111111111166665,71.9444444445,47.9444444445,56.55555555549999,69.38888888883334,68.9444444445,[]
raw/ILRDM_NTDMF9_Raw.xls_Tank_1,34.9444444445,44.4444444445,48.722222222166664,38.0,30.222222222166668,28.277777777833336,28.833333333333332,21.333333333333336,40.0,8.666666666666668,24.222222222166668,37.888888888833335,22.777777777833332,22.0,9.277777777783333,11.0,18.388888888833332,8.44444444445,15.777777777783333,4.666666666666666,28.4444444445,41.55555555549999,33.277777777833336,27.666666666666668,16.888888888833335,17.4444444445,22.722222222166664,10.111111111116667,25.33333333333333,5.833333333333333,[]
raw/ILRDM_NTDMF9_Raw.xls_Tank_2,23.888888888833335,59.77777777783333,17.388888888833335,12.888888888883335,5.277777777783333,37.5555555555,39.222222222166664,53.22222222216666,20.0555555555,53.94444444449999,6.611111111116667,27.72222222216667,1.1111111111116667,3.6666666666666665,0.0,21.388888888833335,7.944444444449999,23.0555555555,3.94444444445,20.388888888833332,10.444444444450001,40.833333333333336,3.1111111111166667,6.888888888883334,0.27777777777833335,25.777777777833332,17.0555555555,34.388888888833335,7.777777777783333,36.5,[]
raw/ILRDM_NTDFM10_Raw.xls_Tank_1,5.666666666666666,24.222222222166668,41.833333333333336,40.9444444445,40.5,42.61111111116667,41.0555555555,64.5,64.55555555549999,47.27777777783333,0.0,0.7777777777783333,10.444444444450001,10.666666666666668,12.555555555549999,11.44444444445,10.111111111116667,22.4444444445,39.388888888833335,22.9444444445,2.05555555555,6.388888888883333,26.277777777833332,21.666666666666668,20.0555555555,19.666666666666668,21.0555555555,39.49999999999999,49.277777777833336,29.777777777833332,[]
raw/ILRDM_NTDFM10_Raw.xls_Tank_2,1.2777777777783332,9.833333333333334,8.777777777783333,30.555555555500003,15.277777777783333,17.166666666666668,72.00000000000001,72.66666666666667,0.0,0.0,0.0,0.0,0.0,3.05555555555,3.7777777777833332,2.5555555555500002,32.33333333333333,60.5,0.0,0.0,0.0555555555555,0.0,1.5000000000000002,17.611111111166665,6.05555555555,6.111111111116666,48.94444444449999,63.83333333333333,0.0,0.0,[]
raw/ILRDM_NTDMM8_Raw.xls_Tank_1,29.888888888833332,38.9444444445,45.83333333333333,34.0555555555,40.9444444445,33.33333333333333,31.222222222166668,26.166666666666664,29.83333333333333,48.88888888883333,18.5,13.277777777783333,18.166666666666668,18.0555555555,9.611111111116667,12.05555555555,15.888888888883335,6.333333333333332,19.499999999999996,25.777777777833332,24.000000000000004,22.0,30.666666666666664,24.222222222166668,19.222222222166664,19.277777777833332,20.5,13.444444444450001,25.5,33.277777777833336,[]
raw/ILRDM_NTDMM8_Raw.xls_Tank_2,36.777777777833336,52.38888888883333,50.16666666666667,22.166666666666668,49.722222222166664,40.611111111166665,68.88888888883334,62.38888888883333,24.111111111166668,26.111111111166668,22.333333333333332,28.666666666666668,22.333333333333332,7.166666666666667,16.0,9.611111111116667,33.388888888833335,19.9444444445,6.833333333333333,20.5,27.22222222216667,33.111111111166665,32.94444444450001,10.222222222216667,23.722222222166664,19.777777777833332,42.27777777783333,32.777777777833336,11.277777777783333,21.9444444445,[]
